period,debt,debt_change,stocks,stocks_change,color,color_change,restaurant,restaurant_change,portfolio,portfolio_change,inflation,inflation_change,housing,housing_change,dow jones,dow jones_change,revenue,revenue_change,economics,economics_change
2020-06-01,64,-0.09375,67,0.13432835820895522,91,0.054945054945054944,66,0.30303030303030304,74,-0.06756756756756757,27,-0.14814814814814814,92,0.16304347826086957,51,0.17647058823529413,69,-0.028985507246376812,56,0.0
2020-07-01,67,0.04477611940298507,53,-0.2641509433962264,83,-0.0963855421686747,75,0.12,69,-0.07246376811594203,25,-0.08,97,0.05154639175257732,40,-0.275,71,0.028169014084507043,58,0.034482758620689655
2020-08-01,63,-0.06349206349206349,52,-0.019230769230769232,80,-0.0375,82,0.08536585365853659,69,0.0,28,0.10714285714285714,89,-0.0898876404494382,28,-0.42857142857142855,62,-0.14516129032258066,67,0.13432835820895522
2020-09-01,69,0.08695652173913043,46,-0.13043478260869565,88,0.09090909090909091,75,-0.09333333333333334,79,0.12658227848101267,32,0.125,84,-0.05952380952380952,34,0.17647058823529413,71,0.1267605633802817,87,0.22988505747126436
2020-10-01,65,-0.06153846153846154,39,-0.1794871794871795,84,-0.047619047619047616,67,-0.11940298507462686,72,-0.09722222222222222,29,-0.10344827586206896,76,-0.10526315789473684,33,-0.030303030303030304,69,-0.028985507246376812,73,-0.1917808219178082
2020-11-01,64,-0.015625,50,0.22,87,0.034482758620689655,51,-0.3137254901960784,70,-0.02857142857142857,29,0.0,75,-0.013333333333333334,34,0.029411764705882353,61,-0.13114754098360656,62,-0.1774193548387097
2020-12-01,60,-0.06666666666666667,56,0.10714285714285714,83,-0.04819277108433735,53,0.03773584905660377,69,-0.014492753623188406,31,0.06451612903225806,73,-0.0273972602739726,26,-0.3076923076923077,59,-0.03389830508474576,59,-0.05084745762711865
2021-01-01,65,0.07692307692307693,96,0.4166666666666667,80,-0.0375,51,-0.0392156862745098,78,0.11538461538461539,33,0.06060606060606061,78,0.0641025641025641,27,0.037037037037037035,72,0.18055555555555555,64,0.078125
2021-02-01,66,0.015151515151515152,100,0.04,82,0.024390243902439025,50,-0.02,79,0.012658227848101266,39,0.15384615384615385,83,0.060240963855421686,27,0.0,73,0.0136986301369863,71,0.09859154929577464
2021-03-01,68,0.029411764705882353,61,-0.639344262295082,81,-0.012345679012345678,54,0.07407407407407407,81,0.024691358024691357,41,0.04878048780487805,90,0.07777777777777778,29,0.06896551724137931,76,0.039473684210526314,68,-0.04411764705882353
2021-04-01,62,-0.0967741935483871,55,-0.10909090909090909,82,0.012195121951219513,58,0.06896551724137931,76,-0.06578947368421052,35,-0.17142857142857143,83,-0.08433734939759036,23,-0.2608695652173913,73,-0.0410958904109589,70,0.02857142857142857
